Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Volleyball duration (ms),High intensity interval training duration (ms)
2017-07-15,1660.0826961201415,299.27461433410645,,,,,,,,649,,,,,,36232222,465387,,,
2017-07-16,1634.4999321317782,,,,,,,,,32,,,,,,5148390,,,,
2017-07-17,1725.0746401733027,1346.5770211219788,,,,,8.580966580312156,15.829999923706055,0.550000011920929,2260,,,,,,35294544,1647679,,,
2017-07-18,1636.8513909997828,12.020135879516602,,,,,,,,605,,,,,,77116247,42776,,,
2017-07-19,1634.499898756423,,,,,,,,,455,,,,,,78308834,,,,
2017-07-20,1757.2646335775266,2504.3689765930176,,,,,,,,3833,,,,,,73843663,2233260,,,
2017-07-21,1703.9155732026645,,,,,,,,,414,,,,,1174277,54706719,5416,,,
2017-07-22,1720.3306647125546,957.924250125885,,,,,,,,2273,,,,,,57905613,1561380,,,
2017-07-23,1655.967768424485,,,,,,,,,263,,,,,364728,69643199,,,,
2017-07-24,1758.6526205027892,4203.960495769978,,,,,1.0990970565404135,7.360000133514404,0.6100000143051147,2364,,,,,910376,65106683,1283731,,,
2017-07-25,1860.7820737010002,598.6880149841309,,,,,,,,1456,,,,,3018229,69813125,884636,,,
2017-07-26,1683.4490858271024,344.6149628162384,,,,,,,,1552,,,,,,57089208,890453,,,
2017-07-27,1932.3985850791335,4809.53279042244,,,,,,,,8556,,,,,,60398472,5419190,,,
2017-07-28,1927.6806949695065,4871.580792248249,,,,,,,,7963,,,,,732739,63243388,4548790,,,
2017-07-29,2357.70711614576,12463.393619179726,,,,,6.416153788566589,9.529999732971191,2.0999999046325684,17360,,,,,1092229,61430131,11986645,,,
2017-07-30,2155.622388687059,9567.857074975967,,,,,,,,14133,,,,,,64449552,9479942,,,
2017-07-31,2030.4882064446406,6579.993135333061,,,,,,,,10891,,,,,,65025434,7203576,,,
2017-08-01,2168.922672434268,9159.283966958523,,,,,,,,14443,,,,,,57313393,9721892,,,
2017-08-02,2142.4999686447613,8732.165893614292,,,,,,,,13625,,,,,,58167937,9241225,,,
2017-08-03,2036.7776786661695,6244.231028199196,,,,,,,,10845,,,,,,68921862,7317991,,,
2017-08-04,1939.160373412496,4677.362150967121,,,,,,,,8980,,,,,,68840946,5542196,,,
2017-08-05,1755.4923452978887,2007.4606947898865,,,,,,,,3651,,,,,,76599445,2201020,,,
2017-08-06,1805.2881856157949,2519.366397202015,,,,,,,,4346,,,,,,70800474,3106876,,,
2017-08-07,1914.3463429657759,4850.863086819649,,,,,,,,7406,,,,,,65130875,5090795,,,
2017-08-08,2110.9045408190295,7607.847634792328,,,,,,,,12746,,,,,,69047750,8666461,,,
2017-08-09,1871.450931064202,4088.5619161129,,,,,,,,7090,,,,,,71570723,4310467,,,
2017-08-10,2087.3481718901294,7351.900026798248,,,,,,,,12413,,,,,,64351683,8237938,,,
2017-08-11,1941.7056852461703,4264.106111288071,,,,,,,,8174,,,,,,69742960,5588499,,,
2017-08-12,2168.9208935639485,8277.069185316563,,,,,,,,14574,,,,,,60544311,9721859,,,
2017-08-13,1871.4954715952467,3373.7722659111023,,,,,,,,5716,,,,,,65267737,4311278,,,
2017-08-14,1815.264027688017,1262.7286746501923,,,,,,,,2432,,,,,1806159,66088819,1354415,,,
2017-08-15,1884.4661972698245,5141.647511005402,,,,,1.3611405872533155,2.359999895095825,0.6399999856948853,7499,,,,,,66333574,4544127,,,
2017-08-16,1869.4501565492249,3845.645633459091,,,,,,,,7603,,,,,,70758364,4274072,,,
2017-08-17,2136.6468380583437,8476.317589879036,,,,,,,,13814,,,,,,64347595,9134749,,,
2017-08-18,1887.1781486520533,4578.512617945671,,,,,,,,7878,,,,,,70844300,4596568,,,
2017-08-19,1997.1911313832356,5823.519620537758,,,,,,,,9432,,,,,,60659093,6597856,,,
2017-08-20,1820.7448511378484,3416.1594625115395,,,,,,,,4535,,,,,,71039731,3331463,,,
